FID,CCG20CD,CCG20CDH,CCG20NM,STP20CD,STP20CDH,STP20NM,NHSER20CD,NHSER20CDH,NHSER20NM
1,E38000020,07P,NHS Brent CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
2,E38000238,71E,NHS Lincolnshire CCG,E54000013,QJM,Lincolnshire,E40000008,Y60,Midlands
3,E38000031,09A,NHS Central London (Westminster) CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
4,E38000048,07W,NHS Ealing CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
5,E38000070,08C,NHS Hammersmith and Fulham CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
6,E38000074,08E,NHS Harrow CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
7,E38000082,08G,NHS Hillingdon CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
8,E38000084,07Y,NHS Hounslow CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
9,E38000202,08Y,NHS West London CCG,E54000027,QRV,North West London Health and Care Partnership,E40000003,Y56,London
10,E38000240,93C,NHS North Central London CCG,E54000028,QMJ,North London Partners in Health and Care,E40000003,Y56,London
11,E38000004,07L,NHS Barking and Dagenham CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
12,E38000035,07T,NHS City and Hackney CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
13,E38000077,08F,NHS Havering CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
14,E38000113,08M,NHS Newham CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
15,E38000138,08N,NHS Redbridge CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
16,E38000186,08V,NHS Tower Hamlets CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
17,E38000192,08W,NHS Waltham Forest CCG,E54000029,QMF,East London Health and Care Partnership,E40000003,Y56,London
18,E38000244,72Q,NHS South East London CCG,E54000030,QKK,Our Healthier South East London,E40000003,Y56,London
19,E38000245,36L,NHS South West London CCG,E54000031,QWE,South West London Health and Care Partnership,E40000003,Y56,London
20,E38000237,91Q,NHS Kent and Medway CCG,E54000032,QKS,Kent and Medway,E40000005,Y59,South East
21,E38000118,99M,NHS North East Hampshire and Farnham CCG,E54000034,QNQ,Frimley Health and Care ICS,E40000005,Y59,South East
22,E38000178,10C,NHS Surrey Heath CCG,E54000034,QNQ,Frimley Health and Care ICS,E40000005,Y59,South East
23,E38000224,15D,NHS East Berkshire CCG,E54000034,QNQ,Frimley Health and Care ICS,E40000005,Y59,South East
24,E38000059,10K,NHS Fareham and Gosport CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
25,E38000087,10L,NHS Isle of Wight CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
26,E38000120,10J,NHS North Hampshire CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
27,E38000137,10R,NHS Portsmouth CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
28,E38000154,10V,NHS South Eastern Hampshire CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
29,E38000167,10X,NHS Southampton CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
30,E38000198,11A,NHS West Hampshire CCG,E54000042,QRL,Hampshire and the Isle of Wight,E40000005,Y59,South East
31,E38000136,10Q,NHS Oxfordshire CCG,E54000044,QU9,"Buckinghamshire, Oxfordshire and Berkshire West",E40000005,Y59,South East
32,E38000221,15A,NHS Berkshire West CCG,E54000044,QU9,"Buckinghamshire, Oxfordshire and Berkshire West",E40000005,Y59,South East
33,E38000223,14Y,NHS Buckinghamshire CCG,E54000044,QU9,"Buckinghamshire, Oxfordshire and Berkshire West",E40000005,Y59,South East
34,E38000243,52R,NHS Nottingham and Nottinghamshire CCG,E54000014,QT1,Nottingham and Nottinghamshire Health and Care,E40000008,Y60,Midlands
35,E38000246,92A,NHS Surrey Heartlands CCG,E54000052,QXU,Surrey Heartlands Health and Care Partnership,E40000005,Y59,South East
36,E38000021,09D,NHS Brighton and Hove CCG,E54000053,QNX,Sussex and East Surrey Health and Care Partnership,E40000005,Y59,South East
37,E38000235,97R,NHS East Sussex CCG,E54000053,QNX,Sussex and East Surrey Health and Care Partnership,E40000005,Y59,South East
38,E38000248,70F,NHS West Sussex CCG,E54000053,QNX,Sussex and East Surrey Health and Care Partnership,E40000005,Y59,South East
39,E38000089,11N,NHS Kernow CCG,E54000036,QT6,Cornwall and the Isles of Scilly Health and Social Care Partnership,E40000006,Y58,South West
40,E38000230,15N,NHS Devon CCG,E54000037,QJK,Devon,E40000006,Y58,South West
41,E38000150,11X,NHS Somerset CCG,E54000038,QSL,Somerset,E40000006,Y58,South West
42,E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",E54000039,QUY,"Bristol, North Somerset and South Gloucestershire",E40000006,Y58,South West
43,E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,QOX,"Bath and North East Somerset, Swindon and Wiltshire",E40000006,Y58,South West
44,E38000045,11J,NHS Dorset CCG,E54000041,QVV,Dorset,E40000006,Y58,South West
45,E38000062,11M,NHS Gloucestershire CCG,E54000043,QR1,Gloucestershire,E40000006,Y58,South West
